country,year,hpi,hicp,unemployment_rate
BE,2005,72.85,2.5,
BG,2005,80.09,6.0,
CY,2005,97.06,2.0,
DE,2005,83.3,1.9,
DK,2005,82.89,1.7,
EA,2005,91.52,2.2,
EA21,2005,90.54,,
EE,2005,59.01,4.1,
EU,2005,85.34,2.2,
FI,2005,76.25,0.8,
FR,2005,84.72,1.9,8.9
IE,2005,131.89,2.2,
IS,2005,60.6,1.4,
MT,2005,58.46,2.5,
NL,2005,106.3,1.5,
NO,2005,54.24,1.5,
SE,2005,52.04,0.8,7.9
UK,2005,78.96,2.1,
BE,2006,80.0,2.3,
BG,2006,91.86,7.4,
CY,2006,108.57,2.2,
DE,2006,83.0,1.8,
DK,2006,102.85,1.8,
EA,2006,97.7,2.2,
EA21,2006,97.2,,
EE,2006,88.22,4.4,
ES,2006,135.5,3.6,
EU,2006,92.86,2.2,
FI,2006,81.56,1.3,
FR,2006,94.51,1.9,8.9
IE,2006,151.5,2.7,
IS,2006,70.79,4.6,
LT,2006,94.25,3.8,
LV,2006,104.48,6.6,
MT,2006,70.08,2.6,
NL,2006,110.82,1.6,
NO,2006,61.66,2.4,
SE,2006,58.46,1.5,7.2
SK,2006,75.99,4.3,
UK,2006,85.1,2.3,
BE,2007,86.2,1.8,
BG,2007,118.42,7.6,
CY,2007,121.32,2.2,
DE,2007,81.2,2.3,
DK,2007,105.62,1.7,
EA,2007,101.74,2.1,
EA21,2007,102.0,,
EE,2007,106.54,6.7,
ES,2007,148.79,2.8,
EU,2007,100.89,2.3,
FI,2007,86.37,1.6,
FR,2007,100.57,1.6,8.0
HU,2007,98.91,7.9,
IE,2007,162.81,2.9,
IS,2007,77.44,3.6,
LT,2007,119.06,5.8,
LU,2007,74.43,2.7,
LV,2007,142.37,10.1,
MT,2007,84.79,0.7,
NL,2007,116.19,1.6,
NO,2007,69.43,0.8,
SE,2007,65.74,1.7,6.3
SI,2007,120.85,3.8,
SK,2007,98.0,1.9,
UK,2007,93.54,2.3,
