freq,purchase,unit,geo\TIME_PERIOD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,DW_EXST,I15_A_AVG,AT,,,,,,77.75,81.97,86.81,91.14,94.53,100.0,105.95,112.33,119.4,126.58,136.29,154.13,172.03,165.02,162.4,166.5
A,DW_EXST,I15_A_AVG,BE,70.28,78.44,85.43,89.69,89.57,92.24,95.47,97.83,98.78,98.81,100.0,102.12,105.58,108.8,113.11,117.91,125.93,132.93,136.08,139.57,144.88
A,DW_EXST,I15_A_AVG,BG,82.95,95.15,122.66,153.27,120.53,108.35,101.78,99.08,97.3,97.76,100.0,107.34,117.77,126.07,132.11,140.01,152.94,176.79,195.51,226.26,263.26
A,DW_EXST,I15_A_AVG,CY,,,,,,108.78,110.53,105.57,100.95,101.63,100.0,99.69,99.66,98.19,99.75,102.4,103.68,108.95,117.1,125.33,134.81
A,DW_EXST,I15_A_AVG,CZ,,,,101.3,96.4,94.9,95.2,93.9,93.9,96.2,100.0,107.3,119.6,129.3,141.3,153.0,183.6,214.0,210.4,220.9,242.3
A,DW_EXST,I15_A_AVG,DE,84.9,84.6,82.2,83.2,83.2,83.9,86.7,89.7,92.8,95.6,100.0,107.6,114.5,122.2,129.8,140.2,157.5,167.0,151.3,148.2,153.0
A,DW_EXST,I15_A_AVG,DK,83.93,104.09,106.52,101.14,88.82,91.43,89.68,87.11,90.19,93.54,100.0,104.59,109.81,114.67,117.23,122.33,136.55,142.92,137.39,142.24,152.97
A,DW_EXST,I15_A_AVG,EA,,,,,,100.81,102.18,100.46,98.32,98.55,100.0,104.08,108.83,114.12,119.11,125.4,135.81,145.44,142.36,144.48,152.13
A,DW_EXST,I15_A_AVG,EA19,,,,,,100.66,102.07,100.35,98.27,98.55,100.0,104.08,108.83,114.12,119.11,125.4,135.81,145.44,142.26,144.27,151.81
A,DW_EXST,I15_A_AVG,EA20,,,,,,100.72,102.11,100.39,98.29,98.57,100.0,104.07,108.82,114.13,119.16,125.48,135.88,145.59,142.58,144.71,152.37
A,DW_EXST,I15_A_AVG,EA21,,,,,,100.8,102.12,100.39,98.29,98.57,100.0,104.09,108.88,114.21,119.25,125.57,135.99,145.79,142.94,145.25,153.07
A,DW_EXST,I15_A_AVG,EE,66.37,105.06,119.07,106.16,65.09,67.25,72.94,77.13,85.89,95.32,100.0,104.35,110.55,115.03,122.76,127.02,148.79,186.63,189.66,202.19,213.74
A,DW_EXST,I15_A_AVG,ES,,154.28,166.86,156.46,142.38,140.68,127.39,108.48,96.65,96.74,100.0,104.32,110.82,118.34,124.0,125.79,130.32,139.8,144.35,156.01,176.22
A,DW_EXST,I15_A_AVG,EU,,,,,,97.68,97.95,96.41,95.42,97.21,100.0,104.87,110.06,115.29,120.27,126.98,138.2,148.75,146.46,150.09,158.6
A,DW_EXST,I15_A_AVG,EU27_2020,,,,,,100.01,100.67,98.72,97.05,97.78,100.0,104.49,109.75,115.28,120.91,127.81,139.11,149.73,147.42,151.08,159.65
A,DW_EXST,I15_A_AVG,EU28,,,,,,97.69,97.96,96.42,95.42,97.21,100.0,104.87,110.06,115.29,120.27,,,,,,
A,DW_EXST,I15_A_AVG,FI,79.28,84.57,89.33,89.93,89.29,96.94,99.5,100.68,101.4,100.45,100.0,101.1,101.76,102.45,102.59,103.99,108.51,108.78,100.65,97.34,94.61
A,DW_EXST,I15_A_AVG,FR,85.54,95.84,102.15,103.0,95.68,100.59,106.57,105.99,103.76,101.88,100.0,100.93,103.98,107.1,110.6,116.76,124.62,132.42,131.52,126.17,126.93
A,DW_EXST,I15_A_AVG,HR,,,,126.09,117.48,111.23,110.09,107.32,102.74,101.44,100.0,101.81,106.42,113.89,124.09,134.6,144.25,164.99,185.85,206.5,235.86
A,DW_EXST,I15_A_AVG,HU,,,99.17,101.52,95.84,94.01,90.79,87.17,84.74,88.28,100.0,113.54,127.02,145.3,170.6,177.29,205.76,251.97,266.89,302.53,362.14
A,DW_EXST,I15_A_AVG,IE,,,,,,104.57,86.59,74.85,76.8,90.16,100.0,107.45,120.22,132.4,134.78,134.4,147.66,167.58,169.55,184.83,200.15
A,DW_EXST,I15_A_AVG,IS,,,,,,,,,,,,109.77,131.2,142.01,148.29,157.79,177.57,214.84,231.57,250.22,263.1
